route_id,route_short_name,route_description,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
131,"T31","Terminal Paso del Comercio - Universidades",20.40,20.57,20.70,20.97,20.69,20.57,20.46,20.41,20.42,20.27,20.34,20.40,20.39
140,"T40","Terminal Andrés Sanín - Centro",19.26,19.18,19.55,19.63,19.66,19.43,19.61,19.51,19.28,18.78,19.14,18.93,19.15
2102,"P10B","Estación Universidades-El Ingenio-Estación-Estació",18.71,19.02,18.96,18.52,18.49,18.39,18.50,18.38,18.94,18.44,18.66,18.63,18.39
2301,"P30A","Estación Flora Industrial-Terminal Menga - Centro",19.94,20.92,21.26,21.18,21.09,20.90,20.82,20.87,21.30,20.85,21.00,21.08,21.10
2471,"P47A","Terminal Andrés Sanín - Estación Unidad Deportiva",21.50,22.05,22.36,22.20,21.68,21.65,21.45,21.65,21.83,21.31,21.57,21.37,21.27
2472,"P47B","Terminal Andrés Sanín - Estación Unidad Deportiva",20.04,19.77,20.01,19.80,19.91,19.41,19.53,19.68,19.79,19.35,19.39,19.38,19.37
322,"A22","Brisas de los Áamos- Terminal Menga",17.42,16.97,17.42,17.15,17.85,17.34,17.58,17.15,17.28,17.45,16.93,17.46,17.48
332,"A32","Flora Industrial - Estación Chiminangos",19.79,19.59,19.99,20.20,20.50,19.99,20.46,20.65,20.16,19.86,20.37,19.98,19.91
333,"A33","Ciudadela Floralia",18.26,17.71,17.94,17.61,17.64,17.57,17.69,17.70,17.73,17.63,17.46,17.23,17.46
334,"A34","Alcázares - Terminal Paso del Comercio",15.62,15.66,16.19,16.20,15.85,15.47,15.48,15.04,14.94,15.51,15.58,15.43,16.36
373,"A73","Nápoles - Caldas - Terminal Cañaveralejo",19.80,20.37,20.83,20.32,20.39,20.20,19.39,19.51,19.95,19.36,19.44,19.50,19.24
376,"A76","H.U.V - Terminal Cañaveralejo",17.92,19.07,19.43,18.66,18.76,18.43,18.16,18.36,18.98,19.01,18.33,18.27,18.04
421,"E21","Terminal Menga - Estación Universidades",19.66,20.08,20.00,19.77,19.71,19.48,19.51,19.63,19.72,19.53,19.50,19.67,19.66
552,"R52","MENGA RESERVA",5.29,4.50,5.71,5.36,5.39,4.67,5.64,4.86,0.00,0.00,0.00,0.00,0.00
303,"A03","Nacional - Santa librada",14.99,16.14,15.79,15.89,16.16,15.76,15.87,16.10,16.16,16.06,16.25,16.19,16.47
304,"A04","Bella Vista - Estación Manzana del saber",20.58,22.05,22.19,21.94,22.06,22.27,22.40,22.29,23.28,21.49,21.99,22.00,21.86
1472,"T47B","Terminal Andrés Sanín - Estación Unidad Deportiva",19.11,19.71,19.56,19.58,19.46,19.34,19.44,19.56,19.41,19.24,19.52,19.38,19.40
554,"R54","SANIN RESERVA",0.03,5.56,5.03,7.77,7.78,5.00,4.37,6.33,0.00,0.00,0.00,0.00,0.00
3011,"A01A","San Bosco - C.A.M - Centro",16.48,17.15,17.03,16.43,16.46,16.17,16.22,15.65,16.43,16.58,16.66,16.71,16.41
3123,"A12C","Meléndez - Estación Capri",14.59,16.08,16.04,15.83,15.47,15.40,15.21,14.97,15.12,14.75,14.72,14.83,14.95
3411,"A41A","Pizamos-Terminal Andrés Sanín",21.13,20.34,20.63,20.44,19.97,19.89,20.07,20.17,19.22,18.43,18.60,18.39,18.51
551,"R51","SUR RESERVA",0.10,4.07,4.15,5.45,3.70,2.87,4.32,3.95,0.00,0.00,0.00,0.00,0.00
